Recipe_ID,Recipe_Name,Cuisine_Type,Ingredients_List,Preparation_Steps,Cooking_Time_Minutes,Difficulty_Level,User_ID,User_Preferences,User_Rating,User_Feedback,Date_Prepared,Season,Occasion,Serving_Size,Calories_Per_Serving,Allergen_Information,Cost_Per_Serving,Popularity_Score,Seasonal_Availability
R_1028,Thai Style Peanut butter with Curry paste,Thai,"peanut butter, curry paste, noodles, fish sauce, coconut milk, shrimp,  lemongrass",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,138,Hard,U_0303,"Japanese, French, Time: Long",3.8,Very delicious and easy to follow.,2025-01-22,Year-round,Healthy,1,441,Nuts,9.65,9.7,Year-round
R_1333,Mediterranean Style Feta cheese with Olives,Mediterranean,"feta cheese, olives, olive oil, tahini",1. Chop ingredients. 2. Cook for 15 mins. 3. Serve.,15,Easy,U_0125,"American, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-01-28,Autumn,Healthy,2,265,Nuts,10.64,8.3,Autumn
R_0290,Indian Style Cumin with Rice,Indian,"cumin, rice, coconut milk, ginger, garlic",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,72,Hard,U_0480,"Mediterranean, Italian, Time: Long",3.8,Very delicious and easy to follow.,2025-09-20,Year-round,Party,1,245,Gluten,13.09,8.4,Year-round
R_0661,American Style Cheddar with Bun,American,"cheddar, bun, bbq sauce, lettuce, potatoes",1. Chop ingredients. 2. Cook for 22 mins. 3. Serve.,22,Easy,U_0064,"Chinese, Thai, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-10-22,Autumn,Party,1,165,Seafood,5.28,8.8,Autumn
R_1925,American Style Mayo with Lettuce,American,"mayo, lettuce, bbq sauce, bun",1. Chop ingredients. 2. Cook for 20 mins. 3. Serve.,20,Easy,U_0217,"Thai, Italian, Time: Short",3.8,Very delicious and easy to follow.,2025-11-14,Year-round,Breakfast,4,363,Nuts,7.5,2.0,Year-round
R_1320,Italian Style Tomato sauce with Mozzarella,Italian,"tomato sauce, mozzarella, parmesan, basil, pasta, oregano",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,143,Hard,U_0169,"American, Mediterranean, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-06-05,Spring,Dessert,1,648,Dairy,12.08,3.4,Spring
R_0352,Greek Style Oregano with Lamb,Greek,"oregano, lamb, greek yogurt, garlic, feta,  tomato",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,108,Hard,U_0135,"Mexican, Indian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-09-14,Summer,Party,1,612,None,12.51,5.8,Summer
R_1263,Italian Style Mozzarella with Basil,Italian,"mozzarella, basil, tomato sauce, olive oil, parmesan, garlic",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,32,Medium,U_0233,"Indian, Japanese, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-07-18,Year-round,Party,1,217,Dairy,11.69,7.4,Year-round
R_1196,Greek Style Lamb with Garlic,Greek,"lamb, garlic, oregano,  tomato, cucumber",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,55,Medium,U_0053,"Mexican, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-12,Autumn,Healthy,1,450,Nuts,23.17,8.8,Autumn
R_1883,Thai Style Shrimp with Coconut milk,Thai,"shrimp, coconut milk, curry paste, noodles,  lemongrass, fish sauce, peanut butter",1. Chop ingredients. 2. Cook for 28 mins. 3. Serve.,28,Easy,U_0410,"Greek, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-06-23,Year-round,Weeknight,1,358,Dairy,6.52,1.6,Year-round
R_0325,French Style Herb de provence with Shallots,French,"herb de provence, shallots, beef, cheese, baguette, cream, butter",1. Chop ingredients. 2. Cook for 25 mins. 3. Serve.,25,Easy,U_0008,"Chinese, Mexican, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-12-29,Year-round,Party,4,481,Dairy,18.85,2.4,Year-round
R_0436,French Style Beef with Herb de provence,French,"beef, herb de provence, cheese, wine, shallots, baguette, cream, butter",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,32,Medium,U_0391,"Greek, Thai, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-05-31,Autumn,Festive,4,674,None,18.86,6.2,Autumn
R_0219,American Style Bun with Tomato,American,"bun, tomato, lettuce, mayo, cheddar, beef patty, potatoes, bbq sauce",1. Chop ingredients. 2. Cook for 12 mins. 3. Serve.,12,Easy,U_0263,"Thai, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-10-11,Summer,Festive,6,310,Dairy,3.23,4.7,Summer
R_0763,Mediterranean Style Cucumber with Feta cheese,Mediterranean,"cucumber, feta cheese, olives, chickpeas, olive oil",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,32,Medium,U_0145,"Mexican, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-10-27,Summer,Party,1,377,Dairy,18.73,4.0,Summer
R_1581,Indian Style Curry powder with Ginger,Indian,"curry powder, ginger, garlic, rice",1. Chop ingredients. 2. Cook for 15 mins. 3. Serve.,15,Easy,U_0379,"Thai, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-02-28,Summer,Party,1,583,Gluten,16.19,3.5,Summer
R_0752,Thai Style Fish sauce with Noodles,Thai,"fish sauce, noodles,  lemongrass, shrimp, coconut milk, peanut butter, curry paste",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,113,Hard,U_0454,"Chinese, Thai, Time: Long",5.0,"Absolutely loved it, will make again!",2026-01-01,Autumn,Festive,4,425,Eggs,6.49,4.0,Autumn
R_1820,Indian Style Curry powder with Rice,Indian,"curry powder, rice, garlic, coriander",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,57,Medium,U_0433,"Mediterranean, American, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-06-16,Summer,Healthy,4,542,Dairy,9.35,6.2,Summer
R_1945,Mediterranean Style Chickpeas with Olives,Mediterranean,"chickpeas, olives, olive oil, lemon",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,77,Hard,U_0378,"Thai, Japanese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-01-16,Spring,Weeknight,6,284,Dairy,22.11,4.2,Spring
R_0539,Chinese Style Soy sauce with Tofu,Chinese,"soy sauce, tofu, broccoli, chicken, garlic",1. Chop ingredients. 2. Cook for 30 mins. 3. Serve.,30,Easy,U_0262,"French, Indian, Time: Short",3.8,Very delicious and easy to follow.,2025-10-20,Year-round,Party,6,764,Seafood,17.93,9.7,Year-round
R_1911,Japanese Style Seaweed with Salmon,Japanese,"seaweed, salmon, wasabi, miso, mirin",1. Chop ingredients. 2. Cook for 11 mins. 3. Serve.,11,Easy,U_0070,"Chinese, Greek, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-02,Year-round,Breakfast,6,675,None,8.92,8.8,Year-round
R_1994,Italian Style Tomato sauce with Parmesan,Italian,"tomato sauce, parmesan, mozzarella, garlic, basil, pasta",1. Chop ingredients. 2. Cook for 15 mins. 3. Serve.,15,Easy,U_0131,"Mexican, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-05-28,Winter,Weeknight,1,400,Gluten,21.97,3.7,Winter
R_0674,Indian Style Turmeric with Coriander,Indian,"turmeric, coriander, ginger, onion, garlic, cumin",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,43,Medium,U_0209,"Chinese, Mediterranean, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-12-31,Spring,Weeknight,6,799,Eggs,8.51,8.3,Spring
R_1587,American Style Potatoes with Bacon,American,"potatoes, bacon, cheddar, mayo, tomato, bun",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,55,Medium,U_0149,"Chinese, American, Time: Any",4.8,"Absolutely loved it, will make again!",2025-01-22,Winter,Festive,4,732,Seafood,23.3,1.1,Winter
R_0256,French Style Shallots with Cream,French,"shallots, cream, wine, butter, baguette",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,131,Hard,U_0122,"Indian, Italian, Time: Long",3.8,Very delicious and easy to follow.,2025-06-20,Year-round,Dessert,6,489,Eggs,14.88,7.4,Year-round
R_0171,Indian Style Turmeric with Coriander,Indian,"turmeric, coriander, cumin, ginger, onion, garlic, rice, curry powder",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,91,Hard,U_0014,"American, Italian, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-08-16,Winter,Weeknight,2,340,Nuts,16.73,7.6,Winter
R_1427,French Style Beef with Baguette,French,"beef, baguette, cream, wine",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,61,Hard,U_0478,"Japanese, Greek, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-07-31,Autumn,Dessert,4,572,Nuts,11.46,9.5,Autumn
R_1299,Mexican Style Tomato with Beans,Mexican,"tomato, beans, avocado, lime",1. Chop ingredients. 2. Cook for 30 mins. 3. Serve.,30,Easy,U_0305,"Italian, American, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-07-04,Autumn,Breakfast,4,223,Seafood,3.78,4.9,Autumn
R_0489,Greek Style Cucumber with Oregano,Greek,"cucumber, oregano, lamb, feta, greek yogurt,  tomato",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,41,Medium,U_0178,"Mediterranean, Mexican, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-06-30,Winter,Weeknight,6,333,Seafood,20.08,1.7,Winter
R_0346,Chinese Style Ginger with Soy sauce,Chinese,"ginger, soy sauce, tofu, garlic, scallions, chicken, sesame oil",1. Chop ingredients. 2. Cook for 20 mins. 3. Serve.,20,Easy,U_0308,"Greek, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-12-24,Year-round,Breakfast,2,736,Dairy,5.51,5.0,Year-round
R_0719,Italian Style Pasta with Garlic,Italian,"pasta, garlic, olive oil, mozzarella, oregano, tomato sauce, basil, parmesan",1. Chop ingredients. 2. Cook for 28 mins. 3. Serve.,28,Easy,U_0410,"Greek, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-04-18,Spring,Dessert,2,308,Dairy,8.92,6.6,Spring
R_0140,Italian Style Oregano with Basil,Italian,"oregano, basil, mozzarella, pasta, parmesan, tomato sauce, olive oil, garlic",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,34,Medium,U_0189,"American, Thai, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-06-20,Summer,Party,6,410,Soy,20.78,1.7,Summer
R_0609,Chinese Style Garlic with Tofu,Chinese,"garlic, tofu, ginger, soy sauce, scallions, broccoli, noodles, chicken",1. Chop ingredients. 2. Cook for 29 mins. 3. Serve.,29,Easy,U_0261,"Italian, Thai, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-09-19,Winter,Dessert,4,540,Gluten,16.94,1.7,Winter
R_1747,Greek Style Olive oil with Feta,Greek,"olive oil, feta,  tomato, cucumber",1. Chop ingredients. 2. Cook for 29 mins. 3. Serve.,29,Easy,U_0040,"Mediterranean, Italian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-02-01,Winter,Dessert,6,577,Gluten,11.77,2.5,Winter
R_1271,Chinese Style Sesame oil with Tofu,Chinese,"sesame oil, tofu, noodles, ginger, scallions, garlic, broccoli, soy sauce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,88,Hard,U_0260,"Mexican, Mediterranean, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-12-31,Summer,Dessert,2,282,Nuts,21.47,8.9,Summer
R_0369,Japanese Style Wasabi with Tuna,Japanese,"wasabi, tuna, soy sauce, seaweed, rice, salmon, mirin, miso",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,53,Medium,U_0069,"Mediterranean, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-12-06,Year-round,Weeknight,1,620,Seafood,10.91,1.0,Year-round
R_1552,Mexican Style Avocado with Cheese,Mexican,"avocado, cheese, tortilla, cilantro, jalapeno, corn, lime",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,41,Medium,U_0079,"Mexican, Mediterranean, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-08-17,Spring,Healthy,1,502,Soy,9.97,7.6,Spring
R_0794,Thai Style Peanut butter with Curry paste,Thai,"peanut butter, curry paste, noodles, coconut milk",1. Chop ingredients. 2. Cook for 18 mins. 3. Serve.,18,Easy,U_0225,"Greek, Indian, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-06-18,Spring,Breakfast,2,667,Soy,11.41,3.5,Spring
R_1322,Indian Style Turmeric with Onion,Indian,"turmeric, onion, curry powder, coconut milk, ginger, garlic",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0154,"Thai, Greek, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-08-17,Autumn,Dessert,2,159,Gluten,5.13,6.2,Autumn
R_0615,Japanese Style Tuna with Salmon,Japanese,"tuna, salmon, mirin, seaweed, miso, wasabi, soy sauce, rice",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,91,Hard,U_0394,"French, American, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-08-20,Summer,Breakfast,4,588,Soy,13.97,6.7,Summer
R_1108,Mediterranean Style Feta cheese with Olive oil,Mediterranean,"feta cheese, olive oil, pita, tahini, cucumber",1. Chop ingredients. 2. Cook for 12 mins. 3. Serve.,12,Easy,U_0322,"Italian, American, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-09-12,Spring,Dessert,4,560,Eggs,4.5,1.1,Spring
R_1933,Japanese Style Tuna with Seaweed,Japanese,"tuna, seaweed, mirin, miso, salmon",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,31,Medium,U_0479,"Japanese, Greek, Time: Any",4.8,"Absolutely loved it, will make again!",2025-09-10,Winter,Weeknight,6,753,Soy,6.23,7.0,Winter
R_1701,Japanese Style Mirin with Rice,Japanese,"mirin, rice, miso, salmon, wasabi",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,87,Hard,U_0140,"Thai, French, Time: Long",3.8,Very delicious and easy to follow.,2025-07-10,Winter,Healthy,1,441,Dairy,9.62,3.6,Winter
R_0060,Indian Style Turmeric with Garlic,Indian,"turmeric, garlic, coconut milk, rice",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,60,Medium,U_0295,"American, Greek, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-04-03,Spring,Healthy,6,252,Nuts,14.1,2.3,Spring
R_1658,Thai Style Noodles with Coconut milk,Thai,"noodles, coconut milk, peanut butter, shrimp, curry paste,  lemongrass, fish sauce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,69,Hard,U_0190,"American, Thai, Time: Medium",4.8,"Absolutely loved it, will make again!",2025-05-26,Winter,Festive,6,240,None,2.67,5.3,Winter
R_0932,French Style Cheese with Beef,French,"cheese, beef, butter, wine, baguette, herb de provence, shallots, cream",1. Chop ingredients. 2. Cook for 27 mins. 3. Serve.,27,Easy,U_0451,"Chinese, American, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-12-29,Autumn,Party,2,554,Eggs,16.61,4.7,Autumn
R_1885,Italian Style Tomato sauce with Basil,Italian,"tomato sauce, basil, pasta, mozzarella, oregano, olive oil, parmesan, garlic",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,37,Medium,U_0061,"Greek, American, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-03-06,Autumn,Healthy,2,657,Soy,5.13,2.9,Autumn
R_1981,American Style Tomato with Bun,American,"tomato, bun, potatoes, bacon, mayo, lettuce, cheddar, beef patty",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,116,Hard,U_0112,"Italian, Mexican, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-09-21,Winter,Dessert,6,622,Dairy,22.51,3.4,Winter
R_1976,Italian Style Mozzarella with Oregano,Italian,"mozzarella, oregano, basil, pasta",1. Chop ingredients. 2. Cook for 11 mins. 3. Serve.,11,Easy,U_0230,"American, Mediterranean, Time: Short",3.8,Very delicious and easy to follow.,2025-03-17,Year-round,Party,1,371,Nuts,15.8,5.5,Year-round
R_1201,Mexican Style Beans with Tomato,Mexican,"beans, tomato, jalapeno, cheese",1. Chop ingredients. 2. Cook for 18 mins. 3. Serve.,18,Easy,U_0436,"Thai, Chinese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-05-28,Winter,Weeknight,4,696,Soy,20.33,1.1,Winter
R_0383,Mediterranean Style Tahini with Pita,Mediterranean,"tahini, pita, feta cheese, lemon, cucumber",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,115,Hard,U_0378,"Thai, Japanese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-10-28,Winter,Party,6,788,Eggs,6.14,8.4,Winter
R_0732,French Style Baguette with Wine,French,"baguette, wine, shallots, cream, butter, herb de provence",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,42,Medium,U_0416,"Greek, French, Time: Any",4.8,"Absolutely loved it, will make again!",2025-05-08,Autumn,Dessert,2,680,Eggs,23.43,6.6,Autumn
R_1464,American Style Potatoes with Cheddar,American,"potatoes, cheddar, bbq sauce, tomato, beef patty, bun, lettuce",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,54,Medium,U_0248,"Mediterranean, Chinese, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-11-02,Year-round,Weeknight,6,475,Gluten,9.06,8.0,Year-round
R_1195,Japanese Style Seaweed with Wasabi,Japanese,"seaweed, wasabi, tuna, soy sauce, salmon",1. Chop ingredients. 2. Cook for 23 mins. 3. Serve.,23,Easy,U_0241,"Thai, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-11-12,Spring,Weeknight,4,763,Nuts,3.28,1.2,Spring
R_0176,Japanese Style Mirin with Tuna,Japanese,"mirin, tuna, miso, wasabi, salmon",1. Chop ingredients. 2. Cook for 25 mins. 3. Serve.,25,Easy,U_0020,"Mediterranean, American, Time: Short",3.8,Very delicious and easy to follow.,2025-01-09,Winter,Dessert,6,653,Seafood,11.56,2.5,Winter
R_0450,American Style Mayo with Bbq sauce,American,"mayo, bbq sauce, lettuce, bacon, bun, cheddar, beef patty, tomato",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,45,Medium,U_0253,"Indian, Mediterranean, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-02-01,Summer,Weeknight,4,651,Soy,13.44,1.9,Summer
R_1291,Mediterranean Style Pita with Chickpeas,Mediterranean,"pita, chickpeas, cucumber, tahini",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,32,Medium,U_0364,"Italian, Japanese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-05-26,Year-round,Festive,6,771,None,13.45,8.5,Year-round
R_1821,Indian Style Onion with Cumin,Indian,"onion, cumin, coriander, garlic, coconut milk",1. Chop ingredients. 2. Cook for 30 mins. 3. Serve.,30,Easy,U_0448,"Japanese, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-06-19,Year-round,Festive,6,747,Nuts,17.27,8.0,Year-round
R_1520,Thai Style Shrimp with  lemongrass,Thai,"shrimp,  lemongrass, peanut butter, curry paste, noodles, coconut milk, fish sauce",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,70,Hard,U_0458,"Greek, Japanese, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-07-06,Winter,Weeknight,4,358,Gluten,19.77,5.1,Winter
R_1797,Indian Style Garlic with Turmeric,Indian,"garlic, turmeric, cumin, ginger",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,145,Hard,U_0308,"Greek, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-05-26,Winter,Festive,2,265,Eggs,15.82,9.0,Winter
R_0621,Indian Style Curry powder with Coconut milk,Indian,"curry powder, coconut milk, onion, coriander",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,41,Medium,U_0281,"American, Italian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-06-08,Winter,Weeknight,1,691,Gluten,13.83,9.2,Winter
R_0609,Chinese Style Garlic with Tofu,Chinese,"garlic, tofu, ginger, soy sauce, scallions, broccoli, noodles, chicken",1. Chop ingredients. 2. Cook for 29 mins. 3. Serve.,29,Easy,U_0292,"American, Indian, Time: Short",3.8,Very delicious and easy to follow.,2025-12-19,Winter,Dessert,4,540,Gluten,16.94,1.7,Winter
R_0452,Mediterranean Style Pita with Lemon,Mediterranean,"pita, lemon, cucumber, olive oil, feta cheese, olives",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,36,Medium,U_0378,"Thai, Japanese, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-08-02,Winter,Dessert,1,182,None,24.79,3.8,Winter
R_0389,Thai Style Peanut butter with  lemongrass,Thai,"peanut butter,  lemongrass, shrimp, curry paste",1. Chop ingredients. 2. Cook for 20 mins. 3. Serve.,20,Easy,U_0237,"Japanese, Thai, Time: Any",4.8,"Absolutely loved it, will make again!",2025-05-16,Summer,Festive,6,542,Nuts,7.47,6.2,Summer
R_0806,American Style Bun with Tomato,American,"bun, tomato, cheddar, bbq sauce, lettuce, beef patty, mayo, bacon",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,110,Hard,U_0473,"French, Mediterranean, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-02-24,Spring,Party,2,527,Eggs,10.33,6.4,Spring
R_1212,Mexican Style Lime with Cheese,Mexican,"lime, cheese, jalapeno, cilantro, avocado, tomato, corn",1. Chop ingredients. 2. Cook for 27 mins. 3. Serve.,27,Easy,U_0224,"Japanese, Mexican, Time: Long",4.8,"Absolutely loved it, will make again!",2025-08-07,Winter,Party,2,763,Dairy,3.4,7.3,Winter
R_0999,Thai Style  lemongrass with Noodles,Thai," lemongrass, noodles, shrimp, peanut butter",1. Chop ingredients. 2. Cook for 17 mins. 3. Serve.,17,Easy,U_0068,"Greek, Mexican, Time: Short",3.8,Very delicious and easy to follow.,2025-04-12,Summer,Festive,4,711,Nuts,12.82,1.2,Summer
R_0299,Thai Style Coconut milk with Noodles,Thai,"coconut milk, noodles,  lemongrass, shrimp, curry paste, peanut butter",1. Chop ingredients. 2. Cook for 26 mins. 3. Serve.,26,Easy,U_0348,"Indian, American, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-10-16,Summer,Breakfast,6,536,Seafood,14.95,9.7,Summer
R_0409,Mediterranean Style Feta cheese with Lemon,Mediterranean,"feta cheese, lemon, chickpeas, cucumber, tahini, pita",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,71,Hard,U_0175,"Indian, Japanese, Time: Long",3.8,Very delicious and easy to follow.,2025-08-04,Autumn,Party,1,692,Eggs,24.47,5.6,Autumn
R_0858,Mexican Style Cheese with Beans,Mexican,"cheese, beans, avocado, tortilla, tomato, jalapeno, cilantro",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,106,Hard,U_0338,"Japanese, Chinese, Time: Long",3.8,Very delicious and easy to follow.,2025-09-08,Spring,Dessert,6,252,Dairy,10.16,9.5,Spring
R_1895,Indian Style Cumin with Garlic,Indian,"cumin, garlic, onion, turmeric, rice, curry powder",1. Chop ingredients. 2. Cook for 21 mins. 3. Serve.,21,Easy,U_0061,"Greek, American, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-03-20,Winter,Breakfast,4,426,Soy,16.91,1.9,Winter
R_1919,Indian Style Rice with Cumin,Indian,"rice, cumin, turmeric, curry powder, coriander, coconut milk, ginger",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,110,Hard,U_0169,"American, Mediterranean, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-07-06,Summer,Breakfast,1,762,Nuts,7.73,9.6,Summer
R_1319,French Style Butter with Cream,French,"butter, cream, baguette, cheese",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,36,Medium,U_0301,"Chinese, Greek, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-04-24,Winter,Party,6,666,Soy,19.05,8.5,Winter
R_0385,Greek Style Cucumber with Lamb,Greek,"cucumber, lamb, olive oil, feta, garlic,  tomato",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,52,Medium,U_0176,"Indian, Thai, Time: Short",3.0,"Decent meal, nothing spectacular.",2025-01-16,Year-round,Weeknight,4,626,Eggs,13.89,3.2,Year-round
R_1456,Italian Style Pasta with Oregano,Italian,"pasta, oregano, garlic, mozzarella, tomato sauce, parmesan",1. Chop ingredients. 2. Cook for 16 mins. 3. Serve.,16,Easy,U_0477,"Italian, Chinese, Time: Any",4.8,"Absolutely loved it, will make again!",2025-03-28,Spring,Party,4,366,Soy,18.16,5.8,Spring
R_0060,Indian Style Turmeric with Garlic,Indian,"turmeric, garlic, coconut milk, rice",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,60,Medium,U_0398,"Mediterranean, Mexican, Time: Long",3.0,"Decent meal, nothing spectacular.",2025-08-19,Spring,Healthy,6,252,Nuts,14.1,2.3,Spring
R_0057,Mexican Style Corn with Cilantro,Mexican,"corn, cilantro, tomato, lime",1. Prep protein. 2. Simmer sauce for 20 mins. 3. Bake and Serve.,60,Medium,U_0221,"Mediterranean, Chinese, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-08-17,Summer,Dessert,4,575,Nuts,21.2,6.0,Summer
R_0253,Japanese Style Seaweed with Mirin,Japanese,"seaweed, mirin, salmon, miso, tuna, wasabi, soy sauce, rice",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,126,Hard,U_0135,"Mexican, Indian, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-11-16,Year-round,Dessert,1,161,Gluten,16.8,8.7,Year-round
R_0680,Japanese Style Rice with Mirin,Japanese,"rice, mirin, miso, wasabi",1. Chop ingredients. 2. Cook for 12 mins. 3. Serve.,12,Easy,U_0376,"Mexican, Greek, Time: Short",3.8,Very delicious and easy to follow.,2025-01-11,Spring,Party,2,178,Eggs,16.22,4.4,Spring
R_1371,Thai Style  lemongrass with Coconut milk,Thai," lemongrass, coconut milk, shrimp, fish sauce, curry paste",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,129,Hard,U_0193,"Chinese, Greek, Time: Any",3.0,"Decent meal, nothing spectacular.",2025-06-04,Year-round,Healthy,4,717,Gluten,9.47,3.7,Year-round
R_0844,Japanese Style Miso with Soy sauce,Japanese,"miso, soy sauce, mirin, wasabi, salmon, seaweed",1. Marinate overnight. 2. Slow cook for 1 hour. 3. Garnish and rest before serving.,105,Hard,U_0064,"Chinese, Thai, Time: Medium",3.0,"Decent meal, nothing spectacular.",2025-03-21,Autumn,Healthy,1,563,Nuts,3.27,8.2,Autumn
